"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zb","tbsm","tbum","cdh","cdd10","cdd24","hdd18"
"BRA_AM_Humaita.AP.818900_INMET","am","humaita",-7.55,-63.07,72,51302,8,26.28507991,22.7879452054795,76111,5944.1,841.8,0
"BRA_AM_Itacoatiara.AP.817330_INMET","am","itacoatiara",-3.13,-58.48,45,97122,8,26.42942922,23.4040068493151,80229,5996.7,888.7,0
"BRA_AM_Manacapuru.817290_INMET","am","manacapuru",-3.29,-60.63,19,94175,8,26.70017123,22.9780936073059,78278,6095.6,985.7,0
"BRA_AM_Manaus-Gomez.Intl.AP.817300_INMET","am","manaus",-3.1,-60.03,67,2057711,8,27.27947489,23.352203196347,82005,6307,1199.4,0
"BRA_AM_Maues.817340_INMET","am","maues",-3.4,-57.67,35,59983,8,26.5730137,23.725799086758,82453,6049.2,940.9,0
"BRA_AM_Parintins.817030_INMET","am","parintins",-2.64,-56.76,35,111575,8,27.49006849,23.418595890411,82833,6383.9,1273.9,0
"BRA_AM_Presidente.Figueiredo.816990_INMET","am","presidente_figueiredo",-2.06,-60.03,92,32812,8,26.64430365,22.7349771689498,76780,6075.2,966.4,0
"BRA_AM_Urucara.AP.817020_INMET","am","urucara",-2.53,-57.76,17,17163,8,27.46123288,23.2167808219178,81494,6373.4,1263.8,0
"BRA_AP_Macapa-Alcolumbre.Intl.AP.820980_INMET","ap","macapa",0.04,-51.07,15,456171,8,25.77817352,22.5373744292237,73471,5759,653.3,0
"BRA_AP_Oiapoque.816090_INMET","ap","oiapoque",3.81,-51.86,21,24263,8,25.56219178,22.6130593607306,73355,5680.2,578.6,0
"BRA_AP_Porto.Grande.816370_INMET","ap","porto_grande",0.7,-51.41,77,19669,8,25.77817352,22.5377625570776,73471,5759,653.3,0
"BRA_AP_Tartarugalzinho.816280_INMET","ap","tartarugalzinho",1.5,-50.92,21,15212,8,25.9922032,22.57899543379,74244,5837.2,729.7,0
"BRA_BA_Amargosa.AP.866750_INMET","ba","amargosa",-13.01,-39.62,407,37807,8,23.17565068,19.2554337899543,47356,4809.1,152.8,0
"BRA_BA_Barra.AP.866340_INMET","ba","barra",-11.08,-43.14,403,54188,6,26.79222603,17.2039155251142,46498,6129.2,1025.1,0
"BRA_BA_Barreiras.866520_INMET","ba","barreiras",-12.15,-44.99,470,153918,7,25.12493151,15.5750799086758,35780,5520.6,505.6,0
"BRA_BA_Belmonte.867440_INMET","ba","belmonte",-16.09,-39.22,88,23759,8,23.78600457,20.6017694063927,56820,5031.9,255.9,0
"BRA_BA_Bom.Jesus.da.Lapa.AP.866720_INMET","ba","bom_jesus_da_lapa",-13.26,-43.42,440,69526,6,26.24819635,15.1485730593607,35447,5930.6,858.2,0
"BRA_BA_Brumado.866960_INMET","ba","brumado",-14.18,-41.67,470,69255,5,25.1665411,18.0428196347032,45791,5535.8,620,0
"BRA_BA_Buritirama.AP.866090_INMET","ba","buritirama",-10.72,-43.65,502,21549,6,25.43762557,16.953698630137,41689,5634.7,618.7,0
