"area","ratio","pd","azi","comp","vid","abs","paf","fv","ven","somb","zb","tbsm","tbum","cdh","phi","phs","phft","tmin","tmax","cgtr","cgta","cgtt","dif_phi","dif_phs","dif_phft","dif_tmin","dif_tmax","dif_cgtr","dif_cgta","dif_cgtt"
77,2.5,5,270,"ref","simples_fs87",0.2,30,0.45,"nao",150,6,23.92,18.12,44156,0.575342465753425,17.7990867579909,81.6255707762557,14.8713279802359,30.1530570502512,39.5505388819539,0.687893608912987,40.2384324908669,0.429223744292237,-35.7283105022831,35.2990867579909,-1.8847387013401,-4.1681786796912,-106.427031745362,0.532559390343261,-105.894472355019
39,2.5,2.5,270,"sfar","simples_fs39",0.2,10,0.45,"nao",150,6,23.92,18.12,44156,0,27.2739726027397,72.7260273972603,18.2774351270602,30.2496227086202,45.6424781785358,0,45.6424781785358,-0.0821917808219177,-30.6872146118721,30.7694063926941,0.758057695199501,-4.4148222351148,-104.261020365731,-0.0464005400347906,-104.307420905767
58,1,5,0,"tm10","simples_fs87",0.6,10,0.45,"nao",150,6,23.92,18.12,44156,0.310502283105023,50.3584474885845,49.3310502283105,15.9545375311518,34.5121393187416,140.108470139022,0.352784012664514,140.461254151687,0.164383561643836,-2.89954337899543,2.73515981735157,-0.7106099789384,0.279058875040207,-18.7732919063714,0.177533814350873,-18.5957580920204
77,0.5,5,270,"sfar","duplo_fs87-87",0.2,30,1,"nao",0,6,23.92,18.12,44156,0.0821917808219177,17.8219178082192,82.0958904109589,17.3938765468264,30.3992038487301,34.525042508,0.0332036903466928,34.5582461983467,-0.0456621004566212,-34.1894977168949,34.2351598173516,0.648219492311402,-3.2713094597374,-109.079113381111,-0.107922588354886,-109.187035969466
58,0.5,2.5,0,"tm10","duplo_fs87-87",0.8,30,0.45,"nao",150,6,23.92,18.12,44156,0.164383561643836,43.4292237442922,56.4063926940639,16.7752753368865,36.6649719853505,114.095210279064,0.102898342716374,114.198108621781,0.091324200913242,-12.6095890410959,12.5182648401826,-0.840607834069498,1.8769524627179,-13.7754696197346,0.0610848135919183,-13.7143848061426
58,2.5,5,270,"ref","duplo_fs39-87",0.8,50,0.45,"nao",150,6,23.92,18.12,44156,0.210045662100457,45.8995433789954,53.8904109589041,16.4893054427994,35.8367078309997,173.194115873814,0.232998276575187,173.427114150389,0.0639269406392693,-8.41324200913244,8.34931506849317,-0.0726827045546017,1.4990047627073,7.5802146097149,0.0540322849877019,7.63424689470264
39,2.5,5,180,"sfiso","simples_fs87",0.2,50,0.45,"nao",50,6,23.92,18.12,44156,0.593607305936073,20.3584474885845,79.0479452054795,14.6168546436236,30.7150426649951,68.255970642346,0.861661295615912,69.1176319379619,0.420091324200913,-35.5479452054795,35.1278538812786,-1.6504339376068,-2.9045215349545,-135.318803738781,0.611952702904925,-134.706851035877
77,2.5,2.5,0,"tm10","duplo_fs39-87",0.2,30,1,"nao",0,6,23.92,18.12,44156,0.228310502283105,14.2214611872146,85.5502283105023,16.6325628315788,30.6171670597046,24.5868206470141,0.120654588061332,24.7074752350754,0.219178082191781,-40.648401826484,40.4292237442922,-1.2746683713426,-3.9344881512075,-82.911954837188,0.116065506813385,-82.7958893303743
39,1,5,0,"tv","simples_fs39",0.8,30,1,"nao",50,6,23.92,18.12,44156,0.210045662100457,41.648401826484,58.1415525114155,16.5613110221102,35.7129029079196,191.327465966402,0.200259929847206,191.527725896249,0.0273972602739727,-12.7465753424657,12.7191780821918,0.139245443556199,1.4872410852117,-1.44677477825224,-0.0482490724716895,-1.49502385072393
58,2.5,2.5,180,"tm20","duplo_fs87-87",0.2,30,0.45,"nao",50,6,23.92,18.12,44156,0.200913242009133,23.0205479452055,76.7785388127854,16.6364074463108,31.4608853547294,45.281154411752,0.11740608947793,45.39856050123,0.17351598173516,-33.8493150684932,33.675799086758,-1.0732243702155,-2.6317560751279,-80.4699945411471,0.102113486532068,-80.3678810546152
39,2.5,5,180,"tm20","simples_fs87",0.8,10,0.45,"nao",150,6,23.92,18.12,44156,0,71.1849315068493,28.8150684931507,18.3050339247488,34.148456065515,219.729788234466,0,219.729788234466,-0.17351598173516,15.2785388127854,-15.1050228310502,2.0377453435184,0.528891865565399,16.1550138533396,-0.249708592710986,15.9053052606286
39,0.5,2.5,270,"tm10","simples_fs39",0.8,10,1,"nao",150,6,23.92,18.12,44156,0,51.1598173515982,48.8401826484018,18.2588924049596,34.8486607643093,125.703364294676,0,125.703364294676,-0.0730593607305936,-6.02968036529683,6.1027397260274,0.747933518712301,0.7344558461795,-23.3477010243844,-0.0427663462898924,-23.3904673706743
39,2.5,2.5,90,"tm20","simples_fs87",0.2,50,0.45,"nao",50,6,23.92,18.12,44156,0.365296803652968,25.6118721461187,74.0228310502283,15.8842239449822,33.6782287032962,72.5073738914666,0.229293656037416,72.7366675475039,0.264840182648402,-33.2579908675799,32.9931506849315,-1.5204587509975,-1.1452249113006,-82.8726874924199,0.164772796307074,-82.7079146961128
77,2.5,2.5,180,"sfar","duplo_fs39-87",0.2,10,1,"nao",150,6,23.92,18.12,44156,0,15.4954337899543,84.5045662100457,18.1863563507194,29.2531025808574,19.9523040950543,0,19.9523040950543,-0.0091324200913242,-40.7671232876712,40.7762557077626,0.2852153426822,-4.8553023657887,-92.1920808338077,-0.00466126177014566,-92.1967420955776
39,1,2.5,90,"sfiso","duplo_fs87-87",0.2,30,0.45,"nao",0,6,23.92,18.12,44156,0.410958904109589,21.296803652968,78.2922374429224,15.7174466810121,31.1601862556172,51.8935473367009,0.286504037365739,52.1800513740666,0.328767123287672,-37.2694063926941,36.9406392694064,-1.7690736956346,-3.2880434639076,-99.7034182667571,0.237405474033582,-99.4660127927234
58,2.5,2.5,90,"tm20","simples_fs87",0.2,10,1,"nao",150,6,23.92,18.12,44156,0.210045662100457,16.958904109589,82.8310502283105,16.9108094751971,29.6826481404054,28.1267286243351,0.11323868722087,28.2399673115559,0.136986301369863,-40.6666666666667,40.5296803652968,-0.6980773280834,-5.1014025621172,-100.806569889842,0.072113370729949,-100.734456519112
58,2.5,5,270,"tm20","duplo_fs87-87",0.2,10,0.45,"nao",50,6,23.92,18.12,44156,0.447488584474886,24.3059360730594,75.2465753424657,15.441651841611,30.4156518180137,53.1925591577472,0.468638089086553,53.6611972468338,0.301369863013699,-30.0068493150685,29.7054794520548,-1.120336305743,-3.9220512502787,-112.42134210635,0.289672097499067,-112.131670008852
77,2.5,2.5,90,"tm20","duplo_fs87-87",0.2,30,1,"nao",50,6,23.92,18.12,44156,0.200913242009133,16.5684931506849,83.2305936073059,16.8719275845452,31.0661473334245,29.2634208197942,0.103866400539586,29.3672872203337,0.164383561643836,-40.216894977169,40.0525114155251,-0.9358122389391,-3.7022569320033,-85.4355087799866,0.0852922889323866,-85.3502164910543
58,1,5,90,"sfiso","duplo_fs87-87",0.8,10,1,"nao",0,6,23.92,18.12,44156,0.191780821917808,58.3607305936073,41.4474885844749,16.3890155690013,37.2542383880027,215.325521174306,0.219356144108752,215.544877318415,0.0182648401826483,4.02739726027397,-4.04566210045662,-0.0650237252926971,3.2625881056004,49.9398491168217,0.0103516298128574,49.9502007466345
58,0.5,2.5,180,"ref","simples_fs87",0.2,30,1,"nao",0,6,23.92,18.12,44156,0.429223744292238,16.8972602739726,82.6735159817352,15.5227333782798,30.7296577686715,37.3489286622454,0.317490587045132,37.6664192492905,0.374429223744292,-40.4406392694064,40.0662100456621,-2.006569441065,-3.6459693307258,-94.3139629718562,0.284815314176471,-94.0291476576796
77,0.5,5,0,"tm10","simples_fs87",0.2,10,1,"nao",50,6,23.92,18.12,44156,0.639269406392694,20.0639269406393,79.296803652968,14.5921227094499,30.5838228264459,46.8406570938691,0.769565652102527,47.6102227459717,0.474885844748858,-32.4018264840182,31.9269406392694,-2.012792744222,-3.7771051217154,-103.787510022175,0.579522638036468,-103.207987384138
58,1,5,270,"sfar","duplo_fs39-87",0.6,30,0.45,"nao",0,6,23.92,18.12,44156,0.219178082191781,46.2009132420091,53.5799086757991,16.350910906696,34.4748762157568,146.140807801605,0.245867271609432,146.386675073214,0.0730593607305937,-7.63926940639267,7.56621004566209,-0.3621053142245,0.501217374173898,-11.9691475805542,0.0841976917311968,-11.8849498888229
77,2.5,5,180,"tm20","simples_fs87",0.8,10,0.45,"nao",0,6,23.92,18.12,44156,0,75.5365296803653,24.4634703196347,18.699388685086,35.4809597028191,186.095675886571,0,186.095675886571,-0.127853881278539,21.9337899543379,-21.8059360730594,2.0323391589844,1.8231467510338,39.2206515899778,-0.142638710123397,39.0780128798545
39,2.5,2.5,270,"tm10","duplo_fs87-87",0.2,10,1,"nao",0,6,23.92,18.12,44156,0.447488584474886,21.9337899543379,77.6187214611872,15.5526496766884,31.2858709782947,52.1676991273608,0.322944937080723,52.4906440644414,0.365296803652968,-36.027397260274,35.662100456621,-1.9667277551723,-3.3785739654403,-97.7357994169064,0.276544397045933,-97.45925501986
39,0.5,2.5,180,"tv","simples_fs39",0.8,30,1,"nao",50,6,23.92,18.12,44156,0.182648401826484,35.9041095890411,63.9132420091324,16.6065048307678,36.6500142824874,133.442447364014,0.0935855932519194,133.536032957266,0.091324200913242,-22.5570776255708,22.4657534246575,-0.696821974756599,2.2385674902107,-25.1284351969046,0.0332111122726459,-25.095224084632
