"Model","Sample","MAE","RMSE","R²"
"LM","Test",31.3575365596762,41.6578802643693,0.586861366016879
"SVMR","Train",18.4313876271804,25.4790384899576,0.848388789187876
"SVMR","Test",19.1188045751419,26.234211100688,0.837401518010433
"BRNN","Train",18.3144435386218,25.6182353650944,0.844710462283668
"BRNN","Test",19.3623865144165,27.1283853993753,0.825154623538841
"BT","Train",12.271710959488,19.2260903182026,0.914954170442273
"BT","Test",11.6914149672045,18.3571943667359,0.922894767793681
"XGBT","Train",6.79887179608472,11.2916803964036,0.969861280139274
"XGBT","Test",6.40847923453429,10.477793900875,0.973988396205493
