"Model","Sample","MAE","RMSE","R²"
"LM","Test",27.8290426976344,36.0824525666507,0.588177010306647
"SVMR","Train",15.2213329909299,22.2429782226854,0.842802775820644
"SVMR","Test",14.0881959863025,20.5189527241777,0.867263045843294
"BRNN","Train",16.8646266294033,23.6294309121058,0.822022947658698
"BRNN","Test",16.4837019958797,23.106201960164,0.831598027107651
"BT","Train",12.5423718464958,18.8145269321498,0.890343043421309
"BT","Test",11.6668361815731,17.7919837554084,0.903485397225215
"XGBT","Train",6.80586891917942,11.3931981987873,0.95871637559452
"XGBT","Test",6.3683345538954,10.590070878193,0.964805565181068
