"Model","Sample","MAE","RMSE","R²"
"LM","Test",32.8594308281291,42.6184839165063,0.567447051343825
"SVMR","Train",22.9517906006852,30.7535520698156,0.777436516100096
"SVMR","Test",22.7765701421724,30.2282223751521,0.783425251669142
"BRNN","Train",19.3732019368476,26.5099684934001,0.833239627294395
"BRNN","Test",18.6854978908839,25.3512197526719,0.846989569084575
"BT","Train",13.3589056500897,20.2791706773744,0.905682042885719
"BT","Test",12.9602962488902,19.5016174625332,0.91347669750019
"XGBT","Train",7.10181649280559,12.0229993492918,0.96590374079176
"XGBT","Test",6.83862733849919,11.4593686656322,0.968931965024675
