"Model","Sample","MAE","RMSE","R²"
"LM","Test",26.0429041722646,33.5375081490613,0.599483172152575
"SVMR","Train",15.5446499613069,21.8272420489935,0.833948581886586
"SVMR","Test",15.3243708101236,21.7774129927246,0.832474684403766
"BRNN","Train",17.0449865267289,22.3496859579598,0.823186134753574
"BRNN","Test",17.4479134376081,22.8971287262474,0.813389042601406
"BT","Train",8.49183916158922,11.6862764941513,0.95351088381576
"BT","Test",8.69987283067332,11.9863816780129,0.951902457503299
"XGBT","Train",3.99286272959646,5.57923879489949,0.988988909472218
"XGBT","Test",4.09277563411305,5.68176192893419,0.988513794380608
