"Model","Sample","MAE","RMSE","R²"
"LM","Test",9.17700161775602,11.8418199679559,0.576391453672417
"SVMR","Train",3.79615981910328,5.27148117946293,0.917155491862005
"SVMR","Test",3.70896246315422,5.19382142448449,0.918514350517608
"BRNN","Train",5.18327685004892,6.9050145290044,0.857706476153918
"BRNN","Test",5.19722804893272,6.83447619078137,0.858858813829196
"BT","Train",3.35070841061668,4.56901058680288,0.939037521798851
"BT","Test",3.34878545879803,4.5653776879858,0.937928964348195
"XGBT","Train",2.01704238324016,2.73650150070166,0.977641634586759
"XGBT","Test",1.98222529401481,2.71052783997168,0.977798440585686
