"Model","Sample","MAE","RMSE","R²"
"LM","Test",22.9621124616661,30.8001327027992,0.662210613689064
"SVMR","Train",11.3474273029221,15.5085379225611,0.915408586176808
"SVMR","Test",11.3245898462304,15.3944585777012,0.915871865758244
"BRNN","Train",13.2205166695464,17.6832072310722,0.889317449958613
"BRNN","Test",13.3790333551771,17.786289086207,0.887377846558462
"BT","Train",7.15698118315661,10.0044560955734,0.965516864071706
"BT","Test",7.03793462946551,9.83230666978963,0.966987251745082
"XGBT","Train",3.84942273950057,5.44566997375578,0.989510912124937
"XGBT","Test",3.92019806233964,5.52607491601979,0.989137338107887
