"Model","Sample","MAE","RMSE","R²"
"LM","Test",22.2154336101816,29.3156429000921,0.528963345328393
"SVMR","Train",9.97774270161656,15.4581743153718,0.870906647943896
"SVMR","Test",9.75279716222246,15.162727398832,0.875206896378958
"BRNN","Train",12.8745113194676,17.6505434156246,0.83065721248998
"BRNN","Test",12.8259851614197,17.4831098812216,0.832507952760102
"BT","Train",8.2419417032649,11.1827293590904,0.93482762639851
"BT","Test",7.90862733614468,10.696966543302,0.939298632377187
"XGBT","Train",4.3565942981792,6.01382804779631,0.980348539151154
"XGBT","Test",4.43247752825076,6.02581863203354,0.980104755459932
