"Model","Sample","MAE","RMSE","R²"
"LM","Test",30.9641122795129,40.8008892387845,0.603563533205373
"SVMR","Train",17.9536758628137,25.2152264168954,0.849548174521097
"SVMR","Test",17.6981618064202,24.6882741783031,0.854905328709755
"BRNN","Train",16.0472733310757,23.0265691121921,0.874237286668582
"BRNN","Test",19.3735218515769,26.3095373524837,0.835323502083512
"BT","Train",14.4811799510554,21.2232920013696,0.896091445022113
"BT","Test",14.0611662566513,20.4846739077737,0.904024235032064
"XGBT","Train",6.98082360394743,11.7735677062264,0.967270144036758
"XGBT","Test",6.82194343139422,11.3220622528051,0.969547822300762
