"Model","Sample","MAE","RMSE","R²"
"LM","Test",29.2728571482611,37.7663969373677,0.548864857193055
"SVMR","Train",19.5025880608109,27.8056603328715,0.755917872018708
"SVMR","Test",18.5033482456331,26.1682171387323,0.784887170979022
"BRNN","Train",20.1795728547845,27.3194490383921,0.762219712051091
"BRNN","Test",19.8593219646436,26.8595281466276,0.771924408029592
"BT","Train",12.2858063833844,18.7664741573449,0.891423471392535
"BT","Test",11.52589639175,17.8208734407352,0.903978709624526
"XGBT","Train",6.8275543994785,11.5750185237137,0.957203891350159
"XGBT","Test",6.41119758505106,10.6390585384905,0.964380638587143
