"Model","Sample","MAE","RMSE","R²"
"LM","Test",8.7529954398787,11.651534066182,0.612998170689163
"SVMR","Train",5.08033824727013,7.19990180412073,0.842279081542113
"SVMR","Test",5.14403196060579,7.25375995933891,0.849914214297424
"BRNN","Train",4.3129282412677,5.93981594163786,0.887438086974237
"BRNN","Test",5.20358031043485,7.240019211792,0.850538263260625
"BT","Train",2.75246392724553,4.1294462331923,0.948623464254632
"BT","Test",2.76620733228068,4.25345383160035,0.948835062194796
"XGBT","Train",1.96068828370879,3.06865610190849,0.97114275520314
"XGBT","Test",1.91752089379348,3.10286480296994,0.972520647632836
