"Model","Sample","MAE","RMSE","R²"
"LM","Test",9.56498185984034,12.9483369315482,0.343115605059644
"SVMR","Train",6.71743152766377,8.76695278317408,0.687191875717054
"SVMR","Test",6.67198577455993,8.83710201279835,0.69684506860922
"BRNN","Train",4.29402036581888,6.43307820764776,0.829839331550704
"BRNN","Test",4.1998659830933,6.46549791898029,0.836567843763829
"BT","Train",3.21330490826432,4.60291419810325,0.9178181958947
"BT","Test",3.11945103577843,4.44903806656677,0.926238398439163
"XGBT","Train",1.9567409597046,3.04656390791297,0.961656422240218
"XGBT","Test",1.8648747666405,2.98284122848391,0.965072871680547
