"Model","Sample","MAE","RMSE","R²"
"LM","Test",26.5214981542596,35.2603260717235,0.606737764470988
"SVMR","Train",12.3248385841533,18.7207320172314,0.888646885287778
"SVMR","Test",11.7721795725002,17.8043822749767,0.899900719341671
"BRNN","Train",14.2655023773228,21.151142154737,0.857280833374644
"BRNN","Test",13.8579224291959,20.9326232513967,0.861422920110096
"BT","Train",10.8789241516961,17.8721278905624,0.900175653534243
"BT","Test",10.2304879628562,17.0134080445253,0.911138005687244
"XGBT","Train",6.57244048694333,11.0042826517004,0.961266931458394
"XGBT","Test",5.95537981338311,10.0595213084108,0.968228036347718
