"Model","Sample","MAE","RMSE","R²"
"LM","Test",23.3227887454337,30.5599652681929,0.488126222726334
"SVMR","Train",12.803633482131,19.6521939349789,0.79224901649244
"SVMR","Test",12.5783880035483,19.3672768523951,0.797313095923774
"BRNN","Train",14.949991943032,20.286597954398,0.776240063423543
"BRNN","Test",14.709249345423,19.938382265522,0.782135625626287
"BT","Train",8.43223644518462,11.3346009194678,0.933513020910698
"BT","Test",8.24781503444419,11.0639903659281,0.935839494135543
"XGBT","Train",4.47753765548859,6.13231851481747,0.979568530437666
"XGBT","Test",4.42530307207451,6.05224769552064,0.979924885287872
