"Model","Sample","MAE","RMSE","R²"
"LM","Test",23.7883034165304,31.1706850948653,0.654018300657227
"SVMR","Train",11.3354344881076,16.5139524053393,0.903827185886539
"SVMR","Test",11.2246721718336,16.4993961692241,0.903213656920703
"BRNN","Train",13.9523410294765,18.7848081663712,0.875245882354685
"BRNN","Test",13.9102379004678,18.8409902582657,0.873685021560047
"BT","Train",8.36196596644869,11.5934811502015,0.953940362923871
"BT","Test",8.58607494747688,11.7737070375069,0.952881864511629
"XGBT","Train",3.89287900493797,5.46732711599165,0.989425404452806
"XGBT","Test",3.98252557365439,5.53871003260917,0.989086108443246
