"Model","Sample","MAE","RMSE","R²"
"LM","Test",21.1114787239715,28.1035777184707,0.567113658852031
"SVMR","Train",7.83989765433187,10.982911614388,0.934732194328688
"SVMR","Test",7.73944605935238,10.7526516372745,0.936828236025363
"BRNN","Train",10.8045176008142,14.9873408674051,0.877914250233445
"BRNN","Test",10.3997469446232,14.3049602801617,0.88787455308945
"BT","Train",7.09240792786731,9.91812231924554,0.947945680071912
"BT","Test",7.06830571173212,9.91381458215088,0.947440728419705
"XGBT","Train",4.30566106497898,5.98769868889569,0.980510309407555
"XGBT","Test",4.41063349436844,6.02523608693076,0.980112413711827
