"Model","Sample","MAE","RMSE","R²"
"LM","Test",10.9090809299399,14.1531409555891,0.603190461799278
"SVMR","Train",6.32247789083794,8.19741946250742,0.862194169284863
"SVMR","Test",6.33822546269816,8.2271514194891,0.866236784503896
"BRNN","Train",7.15817053449176,9.11100173090196,0.828986586118312
"BRNN","Test",7.28941653849677,9.27696926210591,0.829305802315163
"BT","Train",3.67884990308662,4.89628017353594,0.952051141645537
"BT","Test",3.64006592076018,4.82818431214598,0.954984707558855
"XGBT","Train",2.04319145697551,2.76625670587429,0.984225038060256
"XGBT","Test",2.03944494653529,2.74416305549802,0.985064288957586
