"area","ratio","pd","azi","comp","vidro","abs","paf","fv","ven","somb","zb","tbsm","tbum","cdh","phi","phs","phft","tmin","tmax","cgtr","cgta","dif_phi","dif_phs","dif_phft","dif_tmin","dif_tmax","dif_cgtr","dif_cgta"
77.16,2.5,5,270,"ref","simples_fs87",20,30,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0.575342465753425,17.7990867579909,81.6255707762557,14.8713279802359,30.1530570502512,10986190488.4736,191080335.109414,0.429223744292237,-35.7283105022831,35.2990867579909,-1.8847387013401,-4.1681786796912,-29562875170.0997,147932217.21199
38.58,2.5,2.5,270,"sfar","simples_fs39",20,10,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0,27.2739726027397,72.7260273972603,18.2774351270602,30.2496227086202,6339192509.26046,0,-0.0821917808219177,-30.6872146118721,30.7694063926941,0.758057695199501,-4.4148222351148,-14480604596.5558,-6444478.20435198
57.87,1,5,0,"tm10","simples_fs87",60,10,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.310502283105023,50.3584474885845,49.3310502283105,15.9545375311518,34.5121393187416,29189077801.0028,73496198.9264236,0.164383561643836,-2.89954337899543,2.73515981735157,-0.7106099789384,0.279058875040207,-3911077449.43814,36985974.611346
77.16,0.5,5,270,"sfar","duplo_fs87-87",20,30,1,"on",0,6,23.91726027,18.1163812785388,44156,0.0821917808219177,17.8219178082192,82.0958904109589,17.3938765468264,30.3992038487301,9590228207.70221,9223188.28974295,-0.0456621004566212,-34.1894977168949,34.2351598173516,0.648219492311402,-3.2713094597374,-30299559798.5514,-29978304.9028667
57.87,0.5,2.5,0,"tm10","duplo_fs87-87",80,30,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.164383561643836,43.4292237442922,56.4063926940639,16.7752753368865,36.6649719853505,23769683347.8581,21437017.5347876,0.091324200913242,-12.6095890410959,12.5182648401826,-0.840607834069498,1.8769524627179,-2869871136.81854,12725921.3852315
57.87,2.5,5,270,"ref","duplo_fs39-87",80,50,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.210045662100457,45.8995433789954,53.8904109589041,16.4893054427994,35.8367078309997,36081876548.2232,48540996.9554619,0.0639269406392693,-8.41324200913244,8.34931506849317,-0.0726827045546017,1.4990047627073,1579201270.07113,11256653.9960579
38.58,2.5,5,180,"sfiso","simples_fs87",20,50,0.45,"on",50,6,23.91726027,18.1163812785388,44156,0.593607305936073,20.3584474885845,79.0479452054795,14.6168546436236,30.7150426649951,9479935250.57416,119674414.025503,0.420091324200913,-35.5479452054795,35.1278538812786,-1.6504339376068,-2.9045215349545,-18794158013.6718,84992887.0010593
77.16,2.5,2.5,0,"tm10","duplo_fs39-87",20,30,1,"off",0,6,23.91726027,18.1163812785388,44156,0.228310502283105,14.2214611872146,85.5502283105023,16.6325628315788,30.6171670597046,6829628692.04501,33514948.8533247,0.219178082191781,-40.648401826484,40.4292237442922,-1.2746683713426,-3.9344881512075,-23030951166.8547,32240212.2205949
38.58,1,5,0,"tv","simples_fs39",80,30,1,"off",50,6,23.91726027,18.1163812785388,44156,0.210045662100457,41.648401826484,58.1415525114155,16.5613110221102,35.7129029079196,26573089093.1416,27813701.1366188,0.0273972602739727,-12.7465753424657,12.7191780821918,0.139245443556199,1.4872410852117,-200939655.401897,-6701217.177448
57.87,2.5,2.5,180,"tm20","duplo_fs87-87",20,30,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.200913242009133,23.0205479452055,76.7785388127854,16.6364074463108,31.4608853547294,9433513460.90912,24459445.4331162,0.17351598173516,-33.8493150684932,33.675799086758,-1.0732243702155,-2.6317560751279,-16764474902.7463,21273506.8761987
38.58,2.5,5,180,"tm20","simples_fs87",80,10,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0,71.1849315068493,28.8150684931507,18.3050339247488,34.148456065515,30517830828.3086,0,-0.17351598173516,15.2785388127854,-15.1050228310502,2.0377453435184,0.528891865565399,2243737564.06263,-34681527.0244435
38.58,0.5,2.5,270,"tm10","simples_fs39",80,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0,51.1598173515982,48.8401826484018,18.2588924049596,34.8486607643093,17458688860.1589,0,-0.0730593607305936,-6.02968036529683,6.1027397260274,0.747933518712301,0.7344558461795,-3242715499.87471,-5939732.30351059
38.58,2.5,2.5,90,"tm20","simples_fs87",20,50,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.365296803652968,25.6118721461187,74.0228310502283,15.8842239449822,33.6782287032962,10070404145.038,31846137.2997246,0.264840182648402,-33.2579908675799,32.9931506849315,-1.5204587509975,-1.1452249113006,-11510021820.4472,22884964.1334969
77.16,2.5,2.5,180,"sfar","duplo_fs39-87",20,10,1,"off",150,6,23.91726027,18.1163812785388,44156,0,15.4954337899543,84.5045662100457,18.1863563507194,29.2531025808574,5542271222.30781,0,-0.0091324200913242,-40.7671232876712,40.7762557077626,0.2852153426822,-4.8553023657887,-25608747445.6917,-1294786.64946398
38.58,1,2.5,90,"sfiso","duplo_fs87-87",20,30,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.410958904109589,21.296803652968,78.2922374429224,15.7174466810121,31.1601862556172,7207391002.49972,39791972.7416527,0.328767123287672,-37.2694063926941,36.9406392694064,-1.7690736956346,-3.2880434639076,-13847608356.2334,32972771.4775762
57.87,2.5,2.5,90,"tm20","simples_fs87",20,10,1,"off",150,6,23.91726027,18.1163812785388,44156,0.210045662100457,16.958904109589,82.8310502283105,16.9108094751971,29.6826481404054,5859697627.76498,23591242.1860983,0.136986301369863,-40.6666666666667,40.5296803652968,-0.6980773280834,-5.1014025621172,-21001234318.2906,15023522.7509117
57.87,2.5,5,270,"tm20","duplo_fs87-87",20,10,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.447488584474886,24.3059360730594,75.2465753424657,15.441651841611,30.4156518180137,11081712234.4518,97632310.3755795,0.301369863013699,-30.0068493150685,29.7054794520548,-1.120336305743,-3.9220512502787,-23420963043.7002,60347967.4161755
77.16,2.5,2.5,90,"tm20","duplo_fs87-87",20,30,1,"off",50,6,23.91726027,18.1163812785388,44156,0.200913242009133,16.5684931506849,83.2305936073059,16.8719275845452,31.0661473334245,8128675981.63915,28851593.2762839,0.164383561643836,-40.216894977169,40.0525114155251,-0.9358122389391,-3.7022569320033,-23731933886.8696,23692150.8504827
