"area","ratio","pd","azi","comp","vidro","abs","paf","fv","ven","somb","zb","tbsm","tbum","cdh","phi","phs","phft","tmin","tmax","cgtr","cgta","dif_phi","dif_phs","dif_phft","dif_tmin","dif_tmax","dif_cgtr","dif_cgta"
57.87,1,5,90,"sfiso","duplo_fs87-87",80,10,1,"off",0,6,23.91726027,18.1163812785388,44156,0.191780821917808,58.3607305936073,41.4474885844749,16.3890155690013,37.2542383880027,44859196477.2855,45698904.2144647,0.0182648401826483,4.02739726027397,-4.04566210045662,-0.0650237252926971,3.2625881056004,10404068646.2057,2156575.7421722
57.87,0.5,2.5,180,"ref","simples_fs87",20,30,1,"on",0,6,23.91726027,18.1163812785388,44156,0.429223744292238,16.8972602739726,82.6735159817352,15.5227333782798,30.7296577686715,7780977006.0629,66143448.9802866,0.374429223744292,-40.4406392694064,40.0662100456621,-2.006569441065,-3.6459693307258,-19648616533.8527,59336144.0330128
77.16,0.5,5,0,"tm10","simples_fs87",20,10,1,"off",50,6,23.91726027,18.1163812785388,44156,0.639269406392694,20.0639269406393,79.296803652968,14.5921227094499,30.5838228264459,13011210364.9066,213766868.578432,0.474885844748858,-32.4018264840182,31.9269406392694,-2.012792744222,-3.7771051217154,-28829679383.9197,160977480.303218
57.87,1,5,270,"sfar","duplo_fs39-87",60,30,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.219178082191781,46.2009132420091,53.5799086757991,16.350910906696,34.4748762157568,30445806770.924,51222020.428936,0.0730593607305937,-7.63926940639267,7.56621004566209,-0.3621053142245,0.501217374173898,-2493556453.75201,17541073.5137437
77.16,2.5,5,180,"tm20","simples_fs87",80,10,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0,75.5365296803653,24.4634703196347,18.699388685086,35.4809597028191,51692912465.0679,0,-0.127853881278539,21.9337899543379,-21.8059360730594,2.0323391589844,1.8231467510338,10894555716.0577,-39621610.3432366
38.58,2.5,2.5,270,"tm10","duplo_fs87-87",20,10,1,"off",0,6,23.91726027,18.1163812785388,44156,0.447488584474886,21.9337899543379,77.6187214611872,15.5526496766884,31.2858709782947,7245467396.40089,44853176.4212676,0.365296803652968,-36.027397260274,35.662100456621,-1.9667277551723,-3.3785739654403,-13574329709.4153,38408698.2169156
38.58,0.5,2.5,180,"tv","simples_fs39",80,30,1,"off",50,6,23.91726027,18.1163812785388,44156,0.182648401826484,35.9041095890411,63.9132420091324,16.6065048307678,36.6500142824874,18533554629.4932,12997915.8755726,0.091324200913242,-22.5570776255708,22.4657534246575,-0.696821974756599,2.2385674902107,-3490038107.62769,4612624.96132326
77.16,2.5,5,270,"tv","duplo_fs39-87",20,10,1,"off",150,6,23.91726027,18.1163812785388,44156,0.474885844748859,17.5799086757991,81.945205479452,15.4019107819097,29.8906223262331,9776515755.59542,124709422.495808,0.328767123287671,-35.9474885844749,35.6187214611872,-1.3541558996663,-4.4306134037093,-30772549902.9779,81561304.5983843
57.87,0.5,5,270,"tm10","simples_fs39",20,30,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.639269406392695,18.527397260274,80.8333333333333,14.522008669369,30.2953005441708,10361308183.318,175776752.448431,0.493150684931508,-34.703196347032,34.2100456621005,-2.049130548489,-3.3480462222382,-23697432211.3017,138183326.954221
57.87,1,5,0,"tm20","simples_fs87",20,50,0.45,"off",0,6,23.91726027,18.1163812785388,44156,0.246575342465753,23.8584474885845,75.8949771689498,16.3930992377298,31.6618864090937,13362914841.8764,51037679.3442102,0.100456621004566,-29.3995433789954,29.2990867579909,-0.272048272360401,-2.5711940346077,-19737240408.5645,14527455.0291326
77.16,0.5,5,0,"sfar","duplo_fs39-87",80,10,1,"off",0,6,23.91726027,18.1163812785388,44156,0,39.0114155251142,60.9885844748858,18.4189077164836,35.6371997028934,23196191648.4909,0,-0.164383561643836,-13.4543378995434,13.6187214611872,1.8139922628117,1.2762717547321,-18644698100.3354,-52789388.2752137
38.58,1,5,180,"sfar","duplo_fs39-87",80,50,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.200913242009132,48.3698630136986,51.4292237442922,16.3451019856838,35.7348485139893,32254741460.6684,34808400.8584642,0.0365296803652967,-7.5456621004566,7.5091324200913,0.0704782022559023,1.8650892206763,4310979098.98207,3049308.3884181
77.16,1,5,180,"tm20","duplo_fs87-87",60,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0.182648401826484,43.3036529680365,56.513698630137,16.5592028309716,34.1512975511851,29886269866.6875,44052849.2021645,0.054794520547945,-10.6666666666667,10.6118721461187,-0.119730698033202,0.281554439534503,-10693672339.4937,6298013.1463019
57.87,2.5,5,270,"tm10","simples_fs87",20,50,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.237442922374429,18.7305936073059,81.0319634703197,16.3916547555083,30.1651544421691,9670382327.1744,49957740.704214,0.091324200913242,-35.5821917808219,35.4908675799087,-0.170333391845702,-4.1725486261233,-24832292950.9776,12673397.74481
77.16,1,5,0,"tm20","duplo_fs87-87",20,50,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.246575342465753,16.6118721461187,83.1415525114155,16.4622334844833,29.8385953950518,9675983256.55296,60787050.3528589,0.100456621004566,-35.9178082191781,35.8173515981735,-0.388909423156402,-4.4137779150297,-29278744529.7634,18375358.4085755
57.87,1,5,180,"sfiso","duplo_fs87-87",80,50,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0,28.9200913242009,71.0799086757991,18.0663304083054,35.2490216209497,18089980529.9745,0,-0.164383561643836,-25.7397260273972,25.9041095890411,1.567683906056,1.3867393910143,-16397219213.3935,-39448084.9064836
77.16,2.5,2.5,270,"tm20","duplo_fs87-87",80,30,1,"off",150,6,23.91726027,18.1163812785388,44156,0.0091324200913242,38.8698630136986,61.12100456621,17.9336366053541,36.0774400223928,23847092037.7221,378476.392075895,0,-17.4543378995434,17.4543378995434,-0.0371803736817995,1.4774271988276,-7115025916.639,-802442.244625185
77.16,0.5,5,270,"sfar","simples_fs39",20,30,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.118721461187214,19.1073059360731,80.7739726027397,17.1387501396363,30.4915597616367,9802661992.88881,14627923.4855356,-0.00913242009132466,-32.9041095890411,32.9132420091324,0.393093085121301,-3.1789535468308,-30087126013.3648,-24573569.707074
77.16,2.5,2.5,270,"tm20","duplo_fs39-87",20,10,0.45,"off",0,6,23.91726027,18.1163812785388,44156,0.182648401826484,20.2283105022831,79.5890410958904,17.028115419663,29.9229393604925,7720737614.76172,26171451.2264658,0.17351598173516,-36.0958904109589,35.9223744292238,-0.9427015593729,-4.6770734630727,-23241380339.5993,24990532.5897647
38.58,2.5,5,90,"ref","duplo_fs87-87",80,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0.210045662100457,57.7876712328767,42.0022831050228,16.3089508956857,35.6830190552095,33117185093.4469,41205373.1934428,0.00913242009132433,1.6073059360731,-1.61643835616441,0.147583234036702,1.1767090178355,4023265199.79599,-542712.585914098
57.87,1,2.5,0,"ref","duplo_fs39-87",80,30,1,"on",0,6,23.91726027,18.1163812785388,44156,0.136986301369863,40.9041095890411,58.958904109589,17.2991224280745,36.8191701344841,25011564366.388,13568123.0429398,0.100456621004566,-15.2123287671233,15.1118721461187,-0.554101889485498,2.10493557243539,-321623969.062263,9779540.17907711
57.87,2.5,2.5,180,"tv","duplo_fs39-87",80,10,1,"on",50,6,23.91726027,18.1163812785388,44156,0.0821917808219177,49.041095890411,50.8767123287671,17.5848980932931,37.0887587021977,24409387457.7868,7206668.26862921,0.0547945205479451,-7.82876712328771,7.77397260273976,-0.124733723233202,2.9961172723404,-1788600905.86865,4020729.71171168
57.87,0.5,5,90,"sfar","duplo_fs39-87",80,50,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0.10958904109589,26.392694063927,73.4977168949772,17.1837155744105,34.2053255330736,15798193832.7537,10656661.2234431,-0.0730593607305937,-27.1004566210045,27.1735159817351,0.908246295497598,0.625009962917694,-19996566616.2246,-40019186.3326356
38.58,1,2.5,0,"tv","duplo_fs39-87",20,50,1,"off",50,6,23.91726027,18.1163812785388,44156,0.433789954337899,17.8584474885845,81.7077625570776,15.9645734072172,32.2993853794968,6799236029.30848,31016420.3764762,0.351598173515982,-39.5616438356164,39.2100456621004,-1.6461531541773,-2.4260814784429,-13533298132.7295,24676988.1126905
38.58,0.5,5,90,"ref","simples_fs39",20,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0.598173515981735,19.3082191780822,80.0936073059361,14.4641149181741,29.9359815175641,8386943699.91163,136936642.990585,0.388127853881278,-35.5547945205479,35.1666666666667,-1.6036185971347,-3.6134732341771,-20658925930.7544,91996264.0063514
57.87,0.5,2.5,90,"sfiso","simples_fs87",60,10,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0,48.8173515981735,51.1826484018265,18.4817957822113,33.6890561601136,15023911596.2239,0,-0.0730593607305936,-7.49086757990869,7.56392694063927,0.969390302020301,-0.446729578813802,-11813130526.1771,-9184466.22430462
77.16,2.5,5,90,"sfiso","duplo_fs87-87",80,50,1,"off",50,6,23.91726027,18.1163812785388,44156,0.310502283105023,39.2785388127854,60.4109589041096,16.1525881256175,36.8185612355723,46102797996.0398,81130746.8854385,0.146118721461187,-14.8858447488585,14.7397260273972,-0.416708863983303,2.3538911457908,3989240240.64641,28979277.2036739
77.16,2.5,2.5,180,"sfiso","simples_fs39",80,50,1,"off",50,6,23.91726027,18.1163812785388,44156,0.219178082191781,30.87899543379,68.9018264840183,16.6945624534708,36.7793160158049,24952632762.6521,29881523.3324741,0.210045662100456,-25.3835616438356,25.1735159817352,-1.2065785545664,2.67091106915881,-6198385905.34743,28586736.6830101
77.16,1,5,180,"sfar","simples_fs87",80,30,1,"off",150,6,23.91726027,18.1163812785388,44156,0.182648401826484,43.8904109589041,55.9269406392694,16.4038157273819,35.530710107468,42037807068.3294,53367843.1219683,0.054794520547945,-10.0799086757991,10.0251141552511,-0.275117801622901,1.6609669958174,1457864862.14813,15613007.0661057
38.58,1,5,90,"ref","simples_fs87",20,30,1,"on",0,6,23.91726027,18.1163812785388,44156,0.593607305936073,18.5,80.9063926940639,14.653281968581,30.5788417710454,8740800791.42848,121189873.597536,0.401826484018265,-37.0821917808219,36.6803652968037,-1.5741589939926,-3.4074078285108,-19161844162.2362,83628469.150296
77.16,2.5,2.5,270,"sfiso","simples_fs87",80,10,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0,52.3698630136986,47.6301369863014,18.8614044150302,34.1160181692556,17551202401.3105,0,-0.0091324200913242,-3.95433789954336,3.9634703196347,0.890587435994302,-0.483994654309605,-13410915553.0506,-1180918.63670108
77.16,1,5,0,"tm20","duplo_fs87-87",20,10,1,"on",0,6,23.91726027,18.1163812785388,44156,0.255707762557077,16.9041095890411,82.8401826484019,16.4325126976637,29.1288965716558,8459892314.46334,62975188.7621688,0.10958904109589,-35.6255707762557,35.5159817351599,-0.418630209976001,-5.1234767384257,-30494835471.8531,20563496.8178854
38.58,2.5,5,180,"tm10","duplo_fs39-87",80,30,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.28310502283105,48.9429223744292,50.7739726027397,15.9464303855718,35.5552292675355,29463597241.99,50717567.3752421,0.10958904109589,-6.9634703196347,6.8538812785388,-0.3208581956586,1.9356650675859,1189503977.7441,16036040.3507986
77.16,0.5,2.5,0,"sfiso","simples_fs87",80,50,1,"on",50,6,23.91726027,18.1163812785388,44156,0.228310502283105,31.9566210045662,67.8150684931507,16.4861204617363,36.6858159346593,26429377984.8332,32886722.9093549,0.200913242009132,-23.1666666666667,22.9657534246575,-1.3502267659034,1.9053018647368,-5199858712.52022,28937928.2966361
57.87,1,2.5,0,"tm10","simples_fs39",60,50,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0.146118721461187,29.189497716895,70.6643835616438,17.2735014658809,34.3599076065261,13627838520.0449,13707807.0832369,0.109589041095891,-26.9269406392694,26.8173515981735,-0.579722851679097,-0.354326955522602,-11705349815.4054,9919224.21937418
57.87,1,2.5,0,"tv","duplo_fs39-87",20,30,1,"on",50,6,23.91726027,18.1163812785388,44156,0.374429223744292,14.7694063926941,84.8561643835617,16.1028001371994,30.4624740341935,6103479086.35609,41813808.7424984,0.337899543378996,-41.3470319634703,41.0091324200913,-1.7504241803606,-4.2517605278552,-19229709249.0942,38025225.8786357
57.87,0.5,2.5,0,"ref","simples_fs39",60,50,1,"on",150,6,23.91726027,18.1163812785388,44156,0.310502283105023,24.9063926940639,74.7831050228311,16.0714476250019,34.1343025683382,14094518782.2175,42783826.9322891,0.237442922374429,-31.1324200913242,30.8949771689498,-1.5444355459541,-0.653716954294403,-12545035702.4591,34072730.7827331
38.58,0.5,5,90,"ref","duplo_fs39-87",20,30,1,"on",50,6,23.91726027,18.1163812785388,44156,0.584474885844749,16.5616438356164,82.8538812785388,14.4901782808359,30.0824474212838,7938887068.4671,133511795.017801,0.374429223744292,-38.3013698630137,37.9269406392694,-1.5775552344729,-3.4670073304574,-21106982562.199,88571416.033568
77.16,2.5,2.5,90,"ref","duplo_fs87-87",80,50,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.127853881278539,45.5,54.3721461187215,17.3400893127655,37.7918552448061,32953366397.4934,17764920.3185148,0.0913242009132419,-11.2853881278539,11.1940639269406,-0.467650510718801,3.0234509793783,1092756528.98464,12605477.8927136
57.87,2.5,5,0,"tm10","duplo_fs39-87",20,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0.623287671232877,18.4566210045662,80.9200913242009,14.5972086538685,30.1047516124471,9318681293.89886,167187767.932657,0.458904109589041,-34.2397260273973,33.7808219178082,-1.9712286153651,-3.8936035644412,-23561722909.1885,125199423.810968
38.58,2.5,5,270,"tm10","simples_fs87",20,50,0.45,"off",0,6,23.91726027,18.1163812785388,44156,0.547945205479452,26.0045662100457,73.4474885844749,14.784835018874,32.6208775245432,13354603117.1445,109938095.30734,0.356164383561644,-29.7191780821918,29.3630136986301,-1.5460331632511,-1.7523566913556,-14654064108.2157,73488080.9116935
77.16,1,2.5,90,"sfiso","duplo_fs87-87",80,30,1,"off",150,6,23.91726027,18.1163812785388,44156,0.164383561643835,34.4360730593607,65.3995433789954,16.8812203798411,36.4473075031763,24111027172.5754,24140872.4989607,0.146118721461187,-22.2374429223745,22.0913242009132,-0.9989750821019,1.9915635910689,-7068740537.49739,21677631.4646633
77.16,0.5,2.5,270,"tv","duplo_fs39-87",60,10,0.45,"on",50,6,23.91726027,18.1163812785388,44156,0.091324200913242,49.8013698630137,50.1073059360731,17.4603941400208,35.4735268205884,24076758666.9782,12188378.8596968,0.0821917808219178,-5.2191780821918,5.1369863013699,-0.500303235513901,1.33291480090369,-6590022915.05962,10950359.3810023
57.87,0.5,5,90,"ref","simples_fs39",20,50,0.45,"off",0,6,23.91726027,18.1163812785388,44156,0.602739726027397,20.9360730593607,78.4611872146119,14.6183143625252,31.0935651854837,13451488661.706,177197991.005773,0.420091324200913,-32.5570776255708,32.1369863013698,-1.6571549163877,-2.4867503846722,-22343271787.2723,126522143.449695
77.16,0.5,2.5,0,"tm10","duplo_fs39-87",60,10,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0,60.9200913242009,39.0799086757991,18.51452647041,34.9969238776366,27716978264.186,0,-0.0273972602739726,5.79680365296803,-5.76940639269407,0.678179242770302,0.216409807714093,-3912258433.16741,-3948794.61271878
77.16,2.5,5,0,"sfiso","duplo_fs87-87",60,10,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0,43.865296803653,56.134703196347,18.5701714531264,33.6737184762234,19571362309.6754,0,-0.146118721461187,-7.9200913242009,8.0662100456621,1.8244737966335,-0.355363611382799,-19013629775.227,-44567359.5653125
57.87,2.5,2.5,90,"sfiso","duplo_fs87-87",20,30,0.45,"on",150,6,23.91726027,18.1163812785388,44156,0.465753424657534,16.9840182648402,82.5502283105023,15.7100131723784,30.4417340618206,6703691203.25771,63712493.3941722,0.392694063926941,-40.6415525114155,40.2488584474886,-1.8988736309021,-4.342316640702,-20157240742.7979,55144773.9589857
77.16,2.5,2.5,0,"tm20","duplo_fs39-87",20,50,0.45,"on",50,6,23.91726027,18.1163812785388,44156,0.264840182648402,13.7214611872146,86.013698630137,16.4797517121147,30.2394507859032,6265395366.06015,39007481.399034,0.255707762557078,-41.148401826484,40.8926940639269,-1.4274794908067,-4.3122044250089,-23595184492.8396,37732744.7663042
57.87,1,2.5,0,"sfar","duplo_fs39-87",60,30,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0,27.2922374429224,72.7077625570776,18.2948594384476,33.0727258778185,10178885337.1507,0,-0.0365296803652968,-28.824200913242,28.8607305936073,0.4416351208876,-1.6415086842302,-15154302998.2995,-3788582.86386273
57.87,1,2.5,90,"tm20","duplo_fs87-87",20,50,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.191780821917808,20.7785388127854,79.0296803652968,16.8966944895749,31.8621887879564,9018058756.58793,20563873.9706853,0.136986301369863,-36.6369863013699,36.5,-0.8159310398968,-2.5802008171236,-17212648176.6653,14553304.4478535
77.16,0.5,2.5,180,"sfiso","simples_fs39",60,10,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0.155251141552511,52.7785388127854,47.0662100456621,16.7584415012262,36.3097949695141,28727029977.2252,28227293.439173,0.127853881278539,-3.95433789954339,3.82648401826486,-0.981474660613998,1.9398853361182,-3912654224.40229,24074710.5385578
57.87,0.5,2.5,270,"tm20","simples_fs39",20,30,1,"on",50,6,23.91726027,18.1163812785388,44156,0.23972602739726,13.472602739726,86.2876712328767,16.5178924077526,29.8682247372367,5505877982.70114,28486323.5095674,0.212328767123288,-42.3059360730594,42.0936073059361,-1.228905084326,-4.2537077266357,-20268708814.5772,25393595.0158785
38.58,0.5,5,0,"ref","simples_fs87",80,30,0.45,"on",50,6,23.91726027,18.1163812785388,44156,0.219178082191781,56.3949771689498,43.3858447488585,16.3058078898054,36.2032852082549,35937669364.3212,42571455.4482769,0.0273972602739727,1.88127853881277,-1.9086757990867,0.1146164009158,1.83923720337,7073453004.5895,1475143.4630147
38.58,0.5,5,0,"tm20","simples_fs39",60,10,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.0365296803652968,63.4292237442922,36.5342465753425,17.826987991818,33.2393219803838,26371984437.2427,4528929.25349836,-0.155251141552512,8.91552511415523,-8.7602739726027,1.6357965029284,-1.1247260245011,-2492231922.48896,-36567382.7317638
57.87,2.5,2.5,90,"ref","simples_fs87",20,50,1,"on",50,6,23.91726027,18.1163812785388,44156,0.493150684931507,16.12100456621,83.3858447488585,15.529316233368,31.2543279901929,7280479975.84645,70882474.2352975,0.420091324200913,-41.5045662100457,41.0844748858448,-2.0795705699125,-3.5297227123297,-19580451970.2092,62314754.800111
57.87,1,2.5,180,"tm20","simples_fs87",80,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0,52.5342465753425,47.4657534246575,18.3442808115696,35.7077161934507,21999299218.6261,0,-0.0273972602739726,-5.05936073059363,5.0867579908676,0.588155715775802,1.4241742697383,-4271151106.21805,-3014324.25008084
38.58,0.5,5,0,"sfar","duplo_fs39-87",60,10,0.45,"off",50,6,23.91726027,18.1163812785388,44156,0.273972602739726,57.1712328767123,42.554794520548,16.0000504259256,34.7636292976889,29059131869.816,56500501.0490967,0.0821917808219177,2.65753424657533,-2.7397260273972,-0.191141062964,0.399581292804001,194915510.084278,15404189.0638345
77.16,1,5,0,"tm20","duplo_fs87-87",80,10,0.45,"off",0,6,23.91726027,18.1163812785388,44156,0.091324200913242,68.9018264840183,31.0068493150685,17.5719576142848,37.5238803808716,49653746664.9794,19245435.706148,-0.0547945205479453,16.3721461187215,-16.3173515981735,0.720814706645097,3.2715070707901,10699018878.663,-23166256.2381354
77.16,1,5,90,"tm20","simples_fs87",60,10,0.45,"off",150,6,23.91726027,18.1163812785388,44156,0.0365296803652968,59.2739726027397,40.689497716895,17.8879506568952,33.0990715199941,32806713034.8809,7078313.61137827,-0.118721461187215,5.62557077625571,-5.5068493150685,1.2490948610578,-0.908294323548105,-7721873850.8398,-39437053.3392487
77.16,0.5,2.5,270,"tm10","simples_fs87",60,30,1,"on",0,6,23.91726027,18.1163812785388,44156,0.17351598173516,32.12100456621,67.7054794520548,16.5243540058888,35.4164891521074,22534638960.0356,29029139.5336433,0.164383561643835,-22.8995433789955,22.7351598173516,-1.4363433696459,1.2758771324227,-8132142622.00216,27791120.0549487
57.87,2.5,2.5,180,"sfiso","simples_fs39",80,10,1,"on",150,6,23.91726027,18.1163812785388,44156,0,32.1301369863014,67.8698630136986,18.1589440356327,33.4058217151345,11221547283.9424,0,-0.0273972602739726,-24.7397260273973,24.7671232876713,0.4493122191064,-0.686819714722802,-14976441079.713,-3185938.55691753
38.58,1,2.5,270,"sfar","simples_fs39",80,30,0.45,"on",0,6,23.91726027,18.1163812785388,44156,0,31.9657534246575,68.0342465753425,18.1992938003158,34.819583280191,10854073557.3577,0,-0.0547945205479451,-25.8698630136986,25.9246575342466,0.539948922559102,0.433673213571694,-9376489088.67149,-3898658.15366698
77.16,1,2.5,0,"tv","simples_fs39",80,10,0.45,"on",50,6,23.91726027,18.1163812785388,44156,0,62.1986301369863,37.8013698630137,18.0280490788622,38.1218813286974,31713715465.1236,0,0,6.7305936073059,-6.7305936073059,-0.0014566841093,3.3984057379015,1544837611.49747,0
